Kst./Maschine;Schichtfreigabemenge (Stück);Schichtausschussmenge ();Theoretische Schichtmenge (Stück);Menge% ();Aktuelle Schichtzeit ();Theoretische Schichtzeit ();Laufzeit% ()
40423/Emag VL5 415/416;0;0;0;;0;0;
40424/Emag VL5i 417/418;0;0;0;;0;0;
40425/Emag VL5i 419/420;0;0;0;;0;0;
40426/Emag VL5i 421/422;9;0;262,8;3,424657534;9;219;2,654867257
40428/Emag VL3 428;4991;37;5040;99,76190476;3329;3696;90,10756193
40429/Emag VL3 429;4938;28;5027,727273;98,77226291;3272;3687;88,65676514
40430/Sprint 65 430;2703;52;2918,89518;94,38502687;3288;3722;87,84263141
40434/EMAG VL5i 434;0;0;0;;0;0;
40435/EMAG VL5 435;0;0;0;;0;0;
40436/EMAG VL3 436;0;0;0;;0;0;
40438/EMAG VL3 438;759;15;926,8421053;83,50936968;1028;1174;88,31437435
40439/Schuster F40 439;0;0;553,220339;0;413;2720;14,44690265
40440/Sprint 65 440;532;24;690;80,57971014;898;1012;88,2566586
40451/Emag VL3 451;25;0;25;100;25;25;100
40452/Emag VL3 452;0;0;0;;0;0;
40461/Index V160 / 40461;3802;110;7296,521739;53,61458706;2075;2797;74,07806772
40471/Index G200/471;0;0;0;;0;0;
40472/Index G200/472;2041;47;2139,5;97,59289554;1647;2210;74,71232877
40473/Index G200/473;1391;35;1582,556391;90,10737362;1478;1830;80,4620462
40474/Index G200/474;687;27;1179,130435;60,55309735;1426;2260;62,72727273
40475/Index G200/475;1426;37;2160;67,73148148;1862;2376;78,81097561
40476/Index G200/476;347;3;417;83,93285372;326;417;80,0608828
40477/Hanvha STL42/477;0;0;6833,863636;0;10023;10023;100
40481/Traub TNL26/481;1818;20;2031,578947;90,47150259;1203;1351;89,78036755
40482/Waelti CNC/482;0;0;0;;0;0;
40483/Waelti CNC/483;0;0;0;;0;0;
40484/Mikrosa/484;9140;28;13387,84005;68,48005327;1893;2524;74,52426261
40485/Mikrosa/485;11026;23;17735,89069;62,29740696;2148;2846;75,0740584
40486/Mikrosa/486;5159;16;5059,4126;102,2846012;1314;2031;64,27931961
40487/Mikrosa/487;0;0;0;;0;0;
40491/Index ABC 491;0;0;0;;0;0;
40492/Index ABC 492;0;0;0;;0;0;
40493/Doosan Puma 493;642;21;888,2926829;74,63756178;1092;1214;89,97020854
40970-L/Takisawa 970-L;4999;17;5570;90,05385996;2461;2785;88,67027027
40970-P/Takisawa 970-P;3461;8;5796,363636;59,847867;925;1594;57,896735
40971/Karl Klink 971;29853;570;40186,66667;75,70421367;2367;3014;78,32070203
40972-L/Takisawa 972-L;6705;39;7326;92,05569206;3269;3663;88,95625102
40972-P/Takisawa 972-P;7024;45;8524;82,93054904;3368;4262;78,96367221
40973-L/Takamaz 973-L;0;0;1467,972424;0;8175;8175;100
40974-L/Takamaz 974-L;5726;96;6130,285714;94,97110365;3177;3576;88,56132075
40974-P/Takamaz 974-P;5762;33;6125,142857;94,61003825;3173;3573;88,53868195
50811/Hartowanie indukcyjne KHM600;8136;0;16477,5;49,37642239;1089;2197;49,73879571
50813/Hartowanie indukcyjne 813;3807;0;4440;85,74324324;582;666;85,17179024
